Process_ID,Timestamp,Tool_Type,Wafer_ID,Chamber_Temperature,Gas_Flow_Rate,RF_Power,Etch_Depth,Rotation_Speed,Vacuum_Pressure,Stage_Alignment_Error,Vibration_Level,UV_Exposure_Intensity,Particle_Count,Defect,Join_Status
P1072,2025.7.1 3:51,Deposition,WAF85033,71.43899488,57.47865869,273.2604623,497.0429965,1251.828892,0.456620333,1.514201352,0.007223348,153.0449406,593,1,Non-Joining
P1702,2025.7.1 4:07,Etching,WAF42632,76.89176985,44.98632684,330.825052,550.0084817,1528.202027,0.518396246,1.624834389,0.008518055,126.1377762,403,0,Joining
P1216,2025.7.1 6:56,Deposition,WAF10721,77.77542462,57.60938483,277.3815958,390.868888,1229.277531,0.485450352,2.547833272,0.002606314,128.9400105,985,1,Non-Joining
P1777,2025.7.1 2:46,Lithography,WAF23162,69.00276871,45.01585678,262.202736,539.6654254,1861.057697,0.478890176,2.895768721,0.008094961,125.8571546,989,0,Joining
P1882,2025.7.1 4:39,Deposition,WAF57511,83.3831767,45.69153582,303.0069996,691.5273077,2043.565275,0.467465463,1.098934217,0.006754835,120.3587534,361,0,Joining
P1648,2025.7.1 0:12,Deposition,WAF71340,75.84913336,62.37130708,321.959933,406.0847431,1683.432327,0.436431872,3.406905773,0.009300552,124.3959837,744,0,Joining
P1489,2025.7.1 3:18,Lithography,WAF97804,75.85399452,44.91417021,260.7848808,490.5770244,1738.141821,0.46298007,2.782682763,0.012971807,115.7759376,319,0,Joining
P1892,2025.7.1 5:31,Etching,WAF61750,83.66941569,41.57526206,284.0521732,434.6450784,1586.549405,0.423430197,2.204992985,0.021045954,118.6595388,770,0,Joining
P1273,2025.7.1 4:37,Deposition,WAF97957,69.78250252,48.07385586,288.0813934,532.998064,1472.578415,0.579370561,2.570348098,0.010026373,118.2156713,919,0,Joining
P1252,2025.7.1 0:01,Deposition,WAF22279,75.69073778,54.50414161,367.8799908,747.5115746,1888.711341,0.48082755,1.021194635,0.016414297,139.8957845,297,0,Joining
P1456,2025.7.1 6:58,Lithography,WAF17228,78.65859238,66.08554237,211.1975727,267.7017801,1354.70653,0.472427831,0.018148222,0.008461228,110.4722099,807,0,Joining
P1156,2025.7.1 1:15,Etching,WAF62330,72.62521648,55.06826911,246.9186527,290.2078516,1307.651037,0.567072107,1.991880462,0.009600177,132.9563647,683,0,Joining
P1695,2025.7.1 7:45,Lithography,WAF49883,79.22887532,62.75897385,329.495094,250.5534015,1629.036995,0.506663745,3.049130558,0.018061955,113.7657096,645,0,Joining
P1474,2025.7.1 0:01,Lithography,WAF14474,78.66109037,70.84071274,300.500767,579.8645609,1233.655998,0.60969744,0.686990409,0.015078114,139.0522926,735,0,Joining
P1757,2025.7.1 4:00,Lithography,WAF95439,64.87481843,41.29056449,297.7677229,588.9940857,1642.976087,0.546374307,3.036246871,0.012409145,114.2920575,316,0,Joining
P1028,2025.7.1 2:53,Etching,WAF85281,74.39740813,51.00261961,355.0222362,363.2173773,1159.658804,0.570070842,0.569108857,0.008752699,117.6781978,485,0,Joining
P1547,2025.7.1 1:28,Lithography,WAF61673,79.92148223,30.4508151,319.2782011,657.1194441,1433.407074,0.522812785,0.899508289,0.011412562,136.4428257,418,0,Joining
P1334,2025.7.1 1:55,Etching,WAF17014,77.1100718,56.00884449,354.4720416,610.9714739,1088.950823,0.434661877,2.811286091,0.002281349,129.2697303,108,0,Joining
P1069,2025.7.1 3:06,Etching,WAF56904,74.98657137,53.48079884,302.2064958,481.1683682,1410.163199,0.533486421,0.932999394,0.01263851,136.2006094,781,0,Joining
P1214,2025.7.1 6:54,Etching,WAF40475,75.51214332,44.2844784,375.6807991,472.6829327,1508.871156,0.479789127,3.219646345,0.014849885,104.3346163,483,1,Non-Joining
P1926,2025.7.1 4:09,Lithography,WAF31553,74.64093429,49.28288484,268.2533755,370.1478397,1768.577374,0.556244457,2.656295008,0.007496307,113.339727,846,0,Joining
P1730,2025.7.1 6:46,Lithography,WAF28405,72.2105387,61.11888085,278.1757052,491.8321141,1991.454661,0.477826629,2.81688122,0.015676351,115.91488,858,0,Joining
P1632,2025.7.1 2:31,Lithography,WAF19262,75.66254048,47.97754756,232.3669502,416.5456413,1184.153983,0.523932756,1.941611417,0.005787647,120.7145149,209,0,Joining
P1492,2025.7.1 6:36,Deposition,WAF85923,78.0275646,45.1000163,225.6948475,503.8276509,1612.120958,0.492849257,2.392348165,0.009225986,98.09510314,553,0,Joining
P1153,2025.7.1 2:31,Lithography,WAF36723,74.45341871,43.40275329,319.0606937,358.4935127,1694.797641,0.529962148,1.173584538,0.010696777,110.635619,569,0,Joining
P1307,2025.7.1 8:02,Etching,WAF63780,79.37995191,38.90663668,203.002871,327.4641892,1438.574058,0.497905061,2.84967183,0.005908738,121.8929951,183,0,Joining
P1317,2025.7.1 2:07,Lithography,WAF62142,76.64267377,44.49506884,309.7162534,415.7350014,1275.438044,0.534138207,0.252367571,0.00689049,104.4072944,788,0,Joining
P1913,2025.7.1 2:09,Lithography,WAF73401,80.19881145,48.73013566,344.1687902,637.5613606,1335.392004,0.525244395,2.75647789,0.017154974,129.9631266,547,0,Joining
P1922,2025.7.1 0:59,Etching,WAF28423,75.2435834,56.04288391,350.592155,401.2897402,1320.773932,0.525512514,3.553623937,0.008771937,117.3816548,716,0,Joining
P1373,2025.7.1 6:38,Deposition,WAF39895,70.76164025,50.99719846,309.4027856,447.7652624,1575.558297,0.446984462,2.565859541,0.002827163,104.5124984,720,0,Joining
P1479,2025.7.1 5:03,Lithography,WAF60093,81.62761285,65.53928164,253.8662625,555.4377266,1683.868206,0.487852121,1.273936242,0.013838227,107.6241244,109,0,Joining
P1815,2025.7.1 0:05,Deposition,WAF75499,75.10813315,50.63689955,258.5571496,507.8779692,1338.11629,0.480242628,3.795119924,0.023272162,129.6720095,637,1,Non-Joining
P1542,2025.7.1 1:05,Deposition,WAF11223,62.89310124,53.5330644,291.9864851,420.169935,1513.588526,0.463772534,1.397091648,0.013639228,128.5840315,276,0,Joining
P1440,2025.7.1 6:49,Lithography,WAF79503,67.33499211,47.1702754,188.2992802,411.7586127,1360.266527,0.542574692,1.041292707,0.00342245,102.7684976,455,0,Joining
P1641,2025.7.1 2:17,Etching,WAF69821,75.27615218,52.12858315,271.7424774,359.2108079,1707.749248,0.532560737,2.207458551,0.008357877,116.2353337,366,0,Joining
P1508,2025.7.1 8:07,Deposition,WAF52530,70.8470474,65.76224285,298.6968752,611.0127784,1803.971255,0.51641566,1.311759985,0.006829059,111.5126964,142,0,Joining
P1847,2025.7.1 5:11,Etching,WAF67172,75.2776937,51.38865798,217.970948,556.8788163,1166.413964,0.499584651,2.998095702,0.012369387,119.0003268,174,0,Joining
P1481,2025.7.1 2:23,Deposition,WAF98074,68.8671971,59.47730113,215.6174581,599.1201886,1359.140105,0.502592595,1.606521754,0.015230219,134.0935441,201,0,Joining
P1601,2025.7.1 4:26,Etching,WAF51524,81.03513257,57.91023039,289.8820877,512.6708688,1626.597586,0.527764734,2.259968957,0.006136301,109.6914351,132,0,Joining
P1850,2025.7.1 0:39,Etching,WAF58232,82.84792033,54.49782618,373.5648844,624.2702871,1534.87608,0.514266363,2.226298564,0.008635312,110.8794567,144,0,Joining
P1780,2025.7.1 2:58,Deposition,WAF65361,67.1386211,63.12062344,321.525674,631.7837392,1635.717973,0.482264205,0.401772094,0.008668159,139.6121655,537,0,Joining
P1916,2025.7.1 2:24,Deposition,WAF31961,72.54294792,51.05972278,283.9601069,272.5915416,1651.873246,0.549194905,2.061136519,0.017416129,118.8062309,866,1,Non-Joining
P1664,2025.7.1 2:26,Lithography,WAF83306,75.65075531,39.46827406,261.1601039,385.1850512,1308.388879,0.388386593,1.790917186,0.004336652,122.4547869,197,1,Non-Joining
P1242,2025.7.1 6:48,Deposition,WAF59421,66.25418599,51.92784004,293.7731806,631.0339858,1611.176294,0.48583489,0.519641543,0.006671985,112.1821194,769,0,Joining
P1703,2025.7.1 0:48,Etching,WAF74054,79.97205141,55.16611859,353.160066,404.1342257,1708.48802,0.441873673,2.452237289,0.009437417,110.2994576,164,0,Joining
P1137,2025.7.1 5:34,Etching,WAF78446,69.87265078,36.27919565,365.2398013,451.9702753,1489.433113,0.502755104,1.019118523,0.011013723,108.9779006,628,0,Joining
P1490,2025.7.1 7:08,Lithography,WAF47867,77.62017509,38.54121807,420.0707264,626.3531291,1429.61071,0.516673543,2.509591916,0.009798699,114.7777528,649,0,Joining
P1935,2025.7.1 1:41,Etching,WAF59744,70.88525687,20.58371528,281.046766,368.9182391,1589.257238,0.513518739,-0.1159231,0.013981892,99.29946966,556,0,Joining
P1178,2025.7.1 7:32,Etching,WAF97204,68.96602057,51.14033888,320.3665072,408.9280211,1333.126584,0.549918883,2.186039788,0.014401442,145.347868,521,0,Joining
P1357,2025.7.1 0:47,Etching,WAF71134,79.39653646,48.58656795,328.3297867,551.2030257,1614.334792,0.451534989,1.788595028,0.002221745,127.7258701,981,1,Non-Joining
P1970,2025.7.1 4:27,Etching,WAF11927,69.98263956,35.06642811,317.5360643,482.4309557,1353.096811,0.490470448,2.42504203,0.014915697,127.7083129,535,0,Joining
P1932,2025.7.1 3:12,Deposition,WAF72580,71.95431956,38.96935349,304.7559261,453.3873297,1684.568545,0.422795646,1.292061455,0.009500439,93.74910831,120,0,Joining
P1209,2025.7.1 4:53,Lithography,WAF49713,77.38905923,35.02736911,231.4695361,415.1218665,1380.825477,0.398543314,1.959953334,0.011924484,141.6029696,246,0,Joining
P1837,2025.7.1 2:37,Lithography,WAF82177,77.31730178,63.60112011,298.9777951,505.7413561,1364.599904,0.494212575,2.162560802,0.018183671,134.0463371,373,0,Joining
P1963,2025.7.1 2:45,Deposition,WAF90442,80.20956302,57.51904227,330.1823183,432.5185321,1599.391455,0.45115531,2.722609057,0.009955648,124.3576733,369,1,Non-Joining
P1083,2025.7.1 2:30,Etching,WAF52692,77.28835806,58.22360939,267.9815128,532.8099671,1699.820104,0.469500545,2.027356971,0.010865921,126.9102413,761,0,Joining
P1231,2025.7.1 7:30,Etching,WAF70188,73.05078473,57.24604978,291.020831,344.1848014,1132.567153,0.483671141,1.468305072,0.014042839,136.5056198,963,0,Joining
P1803,2025.7.1 6:28,Deposition,WAF71463,85.79009505,64.1830747,361.5424089,598.6322688,1262.80534,0.505832553,1.691956745,0.006573076,125.4906435,431,0,Joining
P1277,2025.7.1 6:11,Etching,WAF76506,64.88561921,54.42436913,256.6217167,606.9994415,1511.119378,0.562965012,1.867793676,0.00421428,81.87898856,378,0,Joining
P1489,2025.7.1 6:37,Deposition,WAF92445,77.18025537,58.94249007,206.1719145,590.3404875,1412.122223,0.469036969,3.022529779,0.006898672,104.0855605,339,0,Joining
P1960,2025.7.1 7:41,Deposition,WAF56875,85.87977081,34.51769334,316.9776482,400.4701431,1539.909987,0.48458818,1.658456488,0.01032922,99.75985425,841,0,Joining
P1880,2025.7.1 0:52,Lithography,WAF13048,80.59456136,51.84832888,306.0340518,389.3843871,1644.783529,0.501759246,1.907495657,0.012960454,109.4811239,622,0,Joining
P1470,2025.7.1 2:37,Etching,WAF44603,76.05436179,30.87251794,267.83451,519.6727245,1540.417448,0.476437471,2.491331229,0.009156391,122.4130273,777,1,Non-Joining
P1997,2025.7.1 3:09,Lithography,WAF59600,74.58834725,37.82477168,249.5200879,623.0480968,1402.163136,0.623084825,0.756488936,0.012056065,122.6078696,185,0,Joining
P1305,2025.7.1 7:39,Deposition,WAF37700,68.92721679,34.73321397,378.6164294,415.9415834,1456.879085,0.545647344,2.093720624,0.016485822,96.18945849,442,0,Joining
P1470,2025.7.1 6:31,Etching,WAF71365,75.46265696,63.20806534,202.6873403,574.8359573,1586.318856,0.544319883,1.617714332,0.013610199,122.5523495,840,1,Non-Joining
P1064,2025.7.1 6:16,Lithography,WAF59354,82.8519592,54.57348685,353.1378709,471.8068533,1480.652424,0.521624974,2.024833959,0.006188826,80.45729627,853,0,Joining
P1243,2025.7.1 6:01,Deposition,WAF73128,73.86704441,47.379098,406.0775046,460.6991955,1851.651778,0.510908258,2.765565001,0.008355678,108.9758308,533,1,Non-Joining
P1735,2025.7.1 0:38,Deposition,WAF27426,72.34994621,57.45932225,360.9633789,394.4403734,1607.824257,0.466540586,1.712969044,0.004852055,142.4350525,347,0,Joining
P1786,2025.7.1 4:10,Deposition,WAF60426,77.43893009,51.56505454,321.6895079,379.6402924,1389.500085,0.48017871,1.903333389,0.010538797,124.7826661,740,1,Non-Joining
P1905,2025.7.1 4:05,Etching,WAF52636,76.56257583,45.42348814,294.4609474,373.0702869,1693.315284,0.468454733,2.942065606,0.000864206,110.5556192,117,1,Non-Joining
P1767,2025.7.1 6:44,Lithography,WAF74940,78.63556882,69.75457527,313.1426021,541.350805,1482.872107,0.556459752,3.618159444,0.005702538,130.1510511,890,1,Non-Joining
P1206,2025.7.1 5:42,Etching,WAF33461,73.72937088,29.56172484,223.7417202,427.4568408,1491.138165,0.488813742,1.039524187,0.008996728,125.5029065,519,0,Joining
P1780,2025.7.1 1:48,Etching,WAF51025,78.26503969,48.3384944,266.7864495,776.1055967,1424.17127,0.418042166,2.165728901,0.008056473,117.6731487,169,0,Joining
P1701,2025.7.1 1:33,Deposition,WAF22417,69.34137906,62.19230138,309.7766619,584.9807633,1747.580488,0.445932969,2.677578246,0.005816132,116.3983747,280,0,Joining
P1387,2025.7.1 6:32,Deposition,WAF91565,70.48900957,46.66531349,292.5265653,528.4905565,1552.882407,0.450535195,1.583209035,0.013174965,142.7127997,342,0,Joining
P1717,2025.7.1 7:36,Etching,WAF50794,80.15899377,57.72781466,326.446704,498.9858525,1481.155526,0.536436396,2.027266002,0.006741261,127.0253234,780,0,Joining
P1006,2025.7.1 1:57,Etching,WAF38668,83.60982144,63.21973678,265.4971858,373.0790474,1505.208562,0.590257623,1.57113412,0.010682558,131.7308317,255,0,Joining
P1498,2025.7.1 4:36,Etching,WAF42734,75.65908866,50.28188283,283.3658639,588.6953808,1463.92978,0.435371483,2.677527699,0.005249316,102.5465181,693,1,Non-Joining
P1424,2025.7.1 5:37,Etching,WAF54494,81.69338987,20.82637139,361.4546129,655.2373367,1836.66629,0.409442595,1.735282839,0.012566311,136.9950359,682,0,Joining
P1065,2025.7.1 3:20,Etching,WAF83662,74.26311887,44.88225812,336.0787473,543.7777807,1764.910052,0.520703417,2.741656359,0.014516841,89.16367687,163,0,Joining
P1183,2025.7.1 0:56,Deposition,WAF96805,77.53966335,63.39396122,309.8642646,427.3216354,1624.566068,0.514532418,2.336295654,0.008693584,129.8547423,183,0,Joining
P1527,2025.7.1 7:15,Lithography,WAF16630,78.86311493,60.36189345,280.5466536,619.6940792,1698.255255,0.524522239,2.255037755,0.005779461,137.2201761,972,0,Joining
P1025,2025.7.1 3:22,Etching,WAF88488,70.57014959,48.83129996,323.8762821,376.9618843,1562.581609,0.440453101,2.260318303,0.009332605,112.984596,922,0,Joining
P1808,2025.7.1 6:22,Lithography,WAF22094,68.33016685,70.74922501,206.3186038,558.3280464,1233.061389,0.510400045,2.750751246,0.012403019,104.2354617,578,0,Joining
P1036,2025.7.1 0:38,Lithography,WAF40750,72.98621355,48.63156825,390.5188808,627.815517,1009.852614,0.543918221,1.877726821,0.005302036,123.9184499,520,1,Non-Joining
P1645,2025.7.1 1:57,Lithography,WAF74005,76.95642479,50.30851949,265.2906465,428.8190718,1398.584894,0.493397658,2.895093591,0.017417808,85.89728255,490,0,Joining
P1708,2025.7.1 3:23,Deposition,WAF23071,74.66989007,56.79706797,306.2427085,304.9313167,1939.350624,0.497806131,2.497566828,0.011605079,136.5730336,577,0,Joining
P1103,2025.7.1 6:00,Etching,WAF76629,69.7323869,56.81913663,277.3636393,446.9394816,1584.556007,0.559417131,3.64835183,0.003702423,131.6176826,207,0,Joining
P1858,2025.7.1 3:30,Etching,WAF16677,72.30594821,66.14772636,234.4480925,449.0622321,1594.481575,0.483668253,1.188961613,0.008828354,115.6477246,697,1,Non-Joining
P1029,2025.7.1 6:37,Deposition,WAF34707,85.99418519,44.80654927,263.8646932,634.2734626,1411.620823,0.527602464,1.566817234,0.016308723,110.0885557,697,0,Joining
P1107,2025.7.1 4:58,Deposition,WAF63235,83.35829718,45.8982981,252.4924631,753.0139211,1589.314839,0.564948123,1.591657739,0.008398866,110.5068505,758,0,Joining
P1904,2025.7.1 2:47,Lithography,WAF50443,71.48083371,46.04196166,305.9561554,451.2901164,1689.731282,0.560091678,1.885690931,0.007635131,126.3082133,537,0,Joining
P1836,2025.7.1 3:54,Deposition,WAF27111,75.16012672,50.92974157,273.5257221,355.2680879,1633.722173,0.560315387,2.796244707,0.018056406,126.0924496,705,0,Joining
P1730,2025.7.1 2:49,Etching,WAF62105,77.84176074,54.84597103,370.0523254,508.5973194,1418.926934,0.478846205,1.09732871,0.010499462,101.8280239,168,0,Joining
P1296,2025.7.1 3:24,Etching,WAF55799,75.7671369,34.72838967,327.322519,352.1535819,1327.848153,0.511005532,2.70851418,0.007332695,110.4364626,885,1,Non-Joining
P1752,2025.7.1 7:37,Etching,WAF23806,70.8343111,53.99126808,207.1471905,566.1869327,1226.131579,0.515616609,1.628431898,0.000337319,135.5116642,478,1,Non-Joining
P1665,2025.7.1 1:01,Deposition,WAF15948,68.99232303,56.40153442,298.3741579,477.935365,1558.814827,0.476890985,0.94780158,0.012948981,113.0543149,634,1,Non-Joining
P1114,2025.7.1 5:14,Lithography,WAF23341,73.72781636,51.61870829,243.0407256,380.254979,1260.369346,0.465252638,2.211914014,0.008596388,123.1160241,444,0,Joining
P1424,2025.7.1 2:36,Lithography,WAF13576,77.39249866,59.16094402,285.8132825,441.5969491,1639.663939,0.534916862,2.091820526,0.009586535,100.8684447,602,0,Joining
P1638,2025.7.1 0:25,Deposition,WAF43050,58.46050024,48.27513116,314.877027,642.9573361,1702.42605,0.477791506,1.378631425,0.002813147,128.6967268,583,1,Non-Joining
P1863,2025.7.1 4:49,Deposition,WAF74261,75.46280309,48.33943882,257.5845475,557.3960818,1525.834632,0.471560295,0.505276169,0.010774893,132.4510728,365,0,Joining
P1986,2025.7.1 6:49,Lithography,WAF27077,64.70659657,37.73123079,287.473669,390.3407742,1359.813333,0.522330329,2.736247578,0.009107624,114.8140825,236,0,Joining
P1451,2025.7.1 7:50,Lithography,WAF69341,75.46402273,39.39607766,249.6736285,229.0124718,1395.075959,0.47320867,2.328797952,0.011142366,117.5022314,912,0,Joining
P1476,2025.7.1 0:04,Lithography,WAF18669,72.35774501,39.60569037,274.0582035,500.9546318,1490.338536,0.450472194,2.235511735,0.007982891,111.9290123,855,0,Joining
P1354,2025.7.1 5:34,Lithography,WAF62299,67.935412,48.25832335,271.718685,463.6669109,1367.293198,0.436014033,2.093556065,0.007759611,115.757438,140,0,Joining
P1260,2025.7.1 1:15,Deposition,WAF19808,79.2786766,54.73710805,223.5530547,556.7535183,1278.854225,0.467817963,1.965074312,0.015058881,144.3732776,604,0,Joining
P1248,2025.7.1 7:19,Etching,WAF49459,69.94835106,59.35454701,372.5226249,195.4129398,1458.243894,0.539582436,0.518422301,0.007239289,131.6635779,565,1,Non-Joining
P1878,2025.7.1 0:05,Etching,WAF17446,72.52175624,52.684619,203.757239,673.9296409,1556.081464,0.453855499,0.954265106,0.011872895,126.3845587,265,1,Non-Joining
P1380,2025.7.1 6:29,Lithography,WAF73862,71.30185476,54.37021621,263.8854118,418.9087993,1588.786118,0.504224802,3.437103994,0.014772091,101.2015843,747,0,Joining
P1573,2025.7.1 5:25,Deposition,WAF29567,74.03860844,37.8641011,226.0299814,502.9696584,1271.074628,0.528333261,2.005417645,0.012359889,104.4998983,787,1,Non-Joining
P1313,2025.7.1 0:01,Etching,WAF71274,74.65272431,54.86031602,262.3935057,591.4513098,1461.402845,0.44187511,1.194715511,0.010419313,128.4601743,275,0,Joining
P1186,2025.7.1 6:34,Etching,WAF28256,74.27432708,61.96666438,240.6632589,216.3770949,1511.6355,0.506087548,1.235083071,0.014067759,116.9000478,831,0,Joining
P1510,2025.7.1 5:41,Etching,WAF16122,75.44855285,70.12328582,233.6049333,429.7471942,1580.800568,0.414451893,1.257380408,0.013930287,136.6733311,100,0,Joining
P1330,2025.7.1 4:31,Deposition,WAF95275,74.29431589,51.61355188,372.7185076,550.5671694,1440.265861,0.488019951,1.703070715,0.007793519,151.8653947,226,0,Joining
P1117,2025.7.1 0:53,Etching,WAF43053,79.23426872,48.4045472,327.3116596,448.3214069,1334.600765,0.497576862,1.597298473,0.014341421,130.6968965,831,0,Joining
P1409,2025.7.1 1:07,Etching,WAF46992,73.39206158,55.61576884,243.3032191,623.679181,1595.98609,0.49286429,2.585488223,0.011069597,149.8304593,491,0,Joining
P1488,2025.7.1 3:57,Etching,WAF71922,78.78057588,44.51784931,349.4011872,532.50767,1253.620838,0.548015345,1.348873822,0.017132022,95.17162537,472,0,Joining
P1314,2025.7.1 5:00,Deposition,WAF22679,75.81317235,49.17177091,245.5340176,419.9837709,1855.824271,0.452250507,2.965477689,0.012033193,129.2588615,291,0,Joining
P1656,2025.7.1 5:01,Lithography,WAF23383,73.64972551,34.92154036,379.2681203,484.7709573,1872.385533,0.52515781,3.088623865,0.011065929,128.3042801,395,1,Non-Joining
P1659,2025.7.1 3:10,Deposition,WAF25221,76.36396693,58.49942886,288.9511313,527.1520256,1619.879322,0.538808343,3.669918824,0.017061198,124.505713,542,0,Joining
P1404,2025.7.1 7:02,Lithography,WAF35223,80.78208886,52.61481687,280.1128755,587.7596992,1564.216351,0.532164562,2.760617801,0.008365154,141.1855518,406,0,Joining
P1673,2025.7.1 4:23,Lithography,WAF49931,80.97592701,68.73415124,338.5764422,565.8458877,1741.86952,0.493368819,2.667218285,0.007269103,104.527858,269,0,Joining
P1059,2025.7.1 5:44,Lithography,WAF20683,66.06505495,57.88279969,372.0491324,682.3713759,1069.170558,0.554327469,2.833451714,0.016384387,105.1823459,861,1,Non-Joining
